,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
5,56,4,1,2,2,2129952.6106,3,2,5,0,6122453.2985,1387700.849102,350000,337604.83344,230000,0.8043217286906598,0.603448275862069,-0.20087345282859081
6,56,4,1,2,2,2140602.3736,3,2,5,0,6192873.9386,1480904.637516,350000,337604.83344,230000,0.8143507972699645,0.603448275862069,-0.21090252140789556
7,56,4,1,2,2,2129952.6106,3,2,5,0,5886337.0346,1164011.757024,350000,337604.83344,230000,0.7751724137946026,0.603448275862069,-0.1717241379325336
8,56,4,1,2,2,2140602.3736,3,2,5,0,7260575.1143,2489576.74721,350000,337604.83344,230000,0.8805860805861713,0.603448275862069,-0.2771378047241023
9,56,4,1,2,2,2129952.6106,3,2,5,0,6586401.0451,1862004.572205,350000,337604.83344,230000,0.8465160075358912,0.603448275862069,-0.24306773167382223
15,61,3,1,1,1,172526.16146,2,3,3,1,6098634.5526,18640.7576748,50000,123236.1201832,99000,0.13138686131405383,0.33557046979865773,0.2041836084846039
16,61,3,1,1,1,173591.13776,2,3,3,1,6108990.5291,18640.7576748,50000,124271.71783119999,99000,0.13043478260942581,0.33557046979865773,0.20513568718923192
17,61,3,1,1,1,173591.13776,2,3,3,1,6114686.3161,18640.7576748,50000,124271.71783119999,99000,0.13043478260942581,0.33557046979865773,0.20513568718923192
18,61,3,1,1,1,173591.13776,2,3,3,1,6103812.5408,18640.7576748,50000,123236.1201832,99000,0.13138686131405383,0.33557046979865773,0.2041836084846039
19,61,3,1,1,1,173591.13776,2,3,3,1,6116239.7126,18640.7576748,50000,123236.1201832,99000,0.13138686131405383,0.33557046979865773,0.2041836084846039
30,79,4,1,0,3,674130.00125,3,3,5,1,61260778.903,5177988.243,6650000,1810224.6897,7107000,0.7409602845343476,0.4833902740423057,-0.25757001049204187
31,79,4,1,0,3,838136.35227,3,3,5,1,67775723.71,5177988.243,6650000,1830936.6427,6282000,0.7387706855818102,0.5142282709557686,-0.22454241462604163
32,79,4,1,0,3,839201.32857,3,3,5,1,44608368.713,5177988.243,6650000,1323493.7949,6272000,0.7964319847098289,0.514626218851571,-0.2818057658582579
33,79,4,1,0,3,1039416.874,3,3,5,1,57936510.451,5177988.243,6650000,1509901.3717,8100000,0.7742335088214924,0.45084745762711864,-0.3233860511943738
34,79,4,1,0,3,801927.15789,3,3,5,1,65682780.862,5177988.243,6650000,1820580.6662,6695000,0.7398638650529328,0.49831397527163734,-0.24154988978129543
40,65,4,1,0,3,55378.767875,3,3,1,1,1024620.3135,362459.17701,250000,79741.018942,40000,0.8196721311479117,0.8620689655172413,0.04239683436932962
41,65,4,1,0,3,55378.767875,3,3,1,1,2091285.8916,362459.17701,250000,79741.018942,40000,0.8196721311479117,0.8620689655172413,0.04239683436932962
