AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,RiskTol
65,4,1,0,3,55378.767875,3,3,1,1,1024620.3135,0.8408705483325765
65,4,1,0,3,55378.767875,3,3,1,1,2091285.8916,0.8408705483325765
65,4,1,0,3,54313.79157,3,3,1,1,1449215.3494,0.8408705483325765
65,4,1,0,3,55378.767875,3,3,1,1,1894418.7786,0.8408705483325765
65,4,1,0,3,54313.79157,3,3,1,1,1677046.8321,0.8408705483325765
54,4,1,0,1,5889318.9683,3,3,2,1,121418646.31,0.8893821018922907
54,4,1,0,1,5037337.924,3,3,2,1,118207258.0,0.898242935168025
54,4,1,0,1,4866941.7152,3,3,2,1,226534914.44,0.9286560981194736
54,4,1,0,1,5516577.2614,3,3,2,1,131151193.01,0.9086223730012984
54,4,1,0,1,4866941.7152,3,3,2,1,145795579.36,0.908005611587752
69,4,1,0,2,1042611.8029,3,3,2,1,25066641.084,0.8116039219223742
69,4,1,0,2,1052196.5896,3,3,2,1,24531237.1,0.8116039219223742
69,4,1,0,2,1088405.784,3,3,2,1,25657967.342,0.8116039219223742
69,4,1,0,2,1039416.874,3,3,2,1,24079716.525,0.8116039219223742
69,4,1,0,2,1046871.7081,3,3,2,1,26288646.31,0.8116039219223742
48,4,1,1,2,448355.02453,2,1,5,1,15533964.729,0.2643980859921564
48,4,1,1,2,448355.02453,2,1,5,1,20070918.027,0.2643980859921564
48,4,1,1,2,447290.04822,2,1,5,1,19490983.344,0.2643980859921564
48,4,1,1,2,447290.04822,2,1,5,1,13783804.703,0.2643980859921564
48,4,1,1,2,447290.04822,2,1,5,1,15980307.315,0.2643980859921564
35,4,1,2,1,78808.246592,2,3,4,1,326109.69954,0.0338078291813418
35,4,1,2,1,76678.293981,2,3,4,1,319274.75506,0.02923976608188785
36,4,1,2,1,51118.862654,3,1,3,1,121113.145,0.00255018990777265
36,4,1,2,1,51118.862654,3,1,3,1,108882.73677,0.00399557413328215
36,4,1,2,1,51118.862654,3,1,3,1,110104.742,0.0044829280274808
36,4,1,2,1,51118.862654,3,1,3,1,109866.55454,0.01579778830942625
36,4,1,2,1,51118.862654,3,1,3,1,111005.71195,0.03487358326063965
92,4,1,0,3,3439873.4661,3,3,3,1,245653082.63,0.3609371555160267
92,4,1,0,3,3546371.0966,3,3,3,1,243734637.98,0.3781698050448967
66,3,1,0,2,74548.341371,3,1,5,1,2378301.7799,0.00218023255814565
66,3,1,0,2,74548.341371,3,1,5,1,2377421.5219,0.00218023255814565
66,3,1,0,2,74548.341371,3,1,5,1,2378457.1195,0.00218023255814565
66,3,1,0,2,74548.341371,3,1,5,1,2378457.1195,0.00218023255814565
66,3,1,0,2,74548.341371,3,1,5,1,2378446.7636,0.00218023255814565
30,4,1,0,1,111822.51206,2,3,3,1,102006.36839,0.45555555555555555
30,4,1,0,1,111822.51206,2,3,3,1,102006.36839,0.45555555555555555
30,4,1,0,1,111822.51206,2,3,3,1,103041.96604,0.45555555555555555
30,4,1,0,1,111822.51206,2,3,3,1,102006.36839,0.45555555555555555
30,4,1,0,1,111822.51206,2,3,3,1,102006.36839,0.45555555555555555
78,3,1,0,3,64963.554623,2,3,5,1,1442587.5245,0.799362222609848
78,3,1,0,3,64963.554623,2,3,5,1,1189901.6982,0.7920899349936992
78,3,1,0,3,66028.530928,2,3,5,1,1307959.8302,0.7947500864122152
78,3,1,0,3,66028.530928,2,3,5,1,1288283.4749,0.8071096671830528
78,3,1,0,3,66028.530928,2,3,5,1,1465370.6728,0.8141949609878886
71,3,1,0,2,5473978.2092,3,3,5,1,108408433.05,0.9266261538376204
71,3,1,0,2,4877591.4782,3,3,5,1,17847489.876,0.8621663614480494
59,4,1,1,1,1480317.0644,3,3,5,1,8957919.6604,0.0272885234597593
59,4,1,1,1,1480317.0644,3,3,5,1,8957919.6604,0.0272885234597593
59,4,1,1,1,1480317.0644,3,3,5,1,8957919.6604,0.0272885234597593
